Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Secure System	Suspended	184 K	24,296 K	108		
Registry		15,932 K	35,796 K	144		
System Idle Process	96.02	60 K	8 K	0		
System	< 0.01	152 K	3,796 K	4		
 Interrupts	0.16	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,168 K	480 K	576		
 Memory Compression	< 0.01	5,920 K	95,428 K	3368		
csrss.exe	< 0.01	2,436 K	3,028 K	516		
wininit.exe		1,612 K	2,920 K	1068		
 services.exe	< 0.01	6,616 K	7,304 K	1140		
  svchost.exe	< 0.01	16,820 K	28,448 K	1304	Host Process for Windows Services	Microsoft Corporation
   WmiPrvSE.exe		45,272 K	23,624 K	3696		
   mc-neo-host.exe		19,380 K	17,468 K	33488		
   dllhost.exe		1,684 K	8,144 K	15856	COM Surrogate	Microsoft Corporation
   Widgets.exe	< 0.01	12,660 K	29,572 K	18768		Microsoft Corporation
    msedgewebview2.exe		33,600 K	9,640 K	23816	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		2,168 K	8,016 K	9408	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		1,64,852 K	12,112 K	9224	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		10,624 K	1,516 K	16184	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		10,868 K	20 K	25816	Microsoft Edge WebView2	Microsoft Corporation
     msedgewebview2.exe		1,10,604 K	2,336 K	23660	Microsoft Edge WebView2	Microsoft Corporation
   SearchHost.exe	Suspended	2,59,488 K	9,272 K	16148		Microsoft Corporation
   StartMenuExperienceHost.exe		84,568 K	21,532 K	19172	Windows Start Experience Host	Microsoft Corporation
   RuntimeBroker.exe		20,840 K	15,384 K	15532	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		5,984 K	17,556 K	1396	Runtime Broker	Microsoft Corporation
   dllhost.exe		6,732 K	15,788 K	21840	COM Surrogate	Microsoft Corporation
   LockApp.exe	< 0.01	50,920 K	30,556 K	25452	LockApp.exe	Microsoft Corporation
   RuntimeBroker.exe		10,292 K	18,888 K	29876	Runtime Broker	Microsoft Corporation
   PhoneExperienceHost.exe	< 0.01	2,48,192 K	40,960 K	11164	Microsoft Phone Link	Microsoft Corporation
   TextInputHost.exe		82,508 K	30,092 K	3608		Microsoft Corporation
   WidgetService.exe		4,804 K	17,832 K	5072		
   RuntimeBroker.exe		2,808 K	16,268 K	32044	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		2,216 K	11,284 K	16892	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		5,928 K	8,908 K	14600	Runtime Broker	Microsoft Corporation
   ApplicationFrameHost.exe		5,944 K	9,324 K	32488	Application Frame Host	Microsoft Corporation
   RuntimeBroker.exe		4,428 K	14,092 K	16004	Runtime Broker	Microsoft Corporation
   DellMobileConnectUniversalClient.exe	< 0.01	52,576 K	18,836 K	11700	DellMobileConnectUniversalClient	Screenovate Technologies Ltd.
   WhatsApp.exe	Suspended	1,12,436 K	18,588 K	12204		
   RuntimeBroker.exe		5,792 K	22,500 K	15184	Runtime Broker	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	65,636 K	6,836 K	13340	Windows Shell Experience Host	Microsoft Corporation
   RuntimeBroker.exe		6,380 K	11,752 K	16744	Runtime Broker	Microsoft Corporation
   SystemSettingsBroker.exe	< 0.01	8,028 K	13,656 K	8956	System Settings Broker	Microsoft Corporation
   PushNotificationsLongRunningTask.exe		2,060 K	11,772 K	22404	PushNotificationsLongRunningTask.exe	Microsoft Corporation
   FileCoAuth.exe		4,856 K	17,392 K	17168	Microsoft OneDriveFile Co-Authoring Executable	Microsoft Corporation
   dllhost.exe		1,572 K	8,876 K	5060	COM Surrogate	Microsoft Corporation
   explorer.exe		60,424 K	19,360 K	31688	Windows Explorer	Microsoft Corporation
   dllhost.exe		1,484 K	7,216 K	17736	COM Surrogate	Microsoft Corporation
   backgroundTaskHost.exe	Suspended	21,340 K	420 K	24844	Background Task Host	Microsoft Corporation
   RuntimeBroker.exe		1,860 K	5,784 K	13052	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		2,148 K	9,760 K	9100	Runtime Broker	Microsoft Corporation
  WUDFHost.exe		6,732 K	3,816 K	1380		
  svchost.exe	< 0.01	14,412 K	17,596 K	1444	Host Process for Windows Services	Microsoft Corporation
  WUDFHost.exe	< 0.01	17,856 K	17,092 K	1600		
  svchost.exe		3,340 K	5,732 K	1660	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,960 K	2,348 K	1904	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,128 K	1,308 K	1920	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,304 K	4,828 K	1928	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		8,888 K	3,668 K	1936	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,924 K	6,036 K	1316	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,676 K	8,968 K	1284	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe		7,668 K	19,256 K	17620	Host Process for Windows Tasks	Microsoft Corporation
   PowerToys.exe	< 0.01	8,328 K	4,456 K	22692	PowerToys.Runner	Microsoft Corporation
    PowerToys.AlwaysOnTop.exe	0.16	18,116 K	964 K	17988	PowerToys AlwaysOnTop	Microsoft Corporation
